"gene";"pathway"
"FGF23";"RTK/RAS"
"FGF3";"RTK/RAS"
"FGF4";"RTK/RAS"
"FGF6";"RTK/RAS"
"FGFR2";"RTK/RAS"
"FGFR3";"RTK/RAS"
"FGFR4";"RTK/RAS"
"FH";"Cellular Metabolism"
"FHIT";"Others "
"FIP1L1";"Others "
"FLCN";"Others "
"FLI1";"Transcription factor-regulator "
"FLT1";"MAPK"
"FLT3";"MAPK"
"FLT4";"MAPK"
"FLYWCH1";"Others "
"FOXA1";"Transcription factor-regulator "
"FOXF1";"Transcription factor-regulator "
"FOXL2";"Transcription factor-regulator "
"FOXO1";"Transcription factor-regulator "
"FOXO3";"Transcription factor-regulator "
"FOXP1";"Transcription factor-regulator "
"FRS2";"Others "
"FSTL3";"Others "
"FUBP1";"Others "
"FURIN";"Others "
"GAB1";"MAPK"
"GABRA6";"Others "
"GADD45B";"Others "
"GAS7";"Others "
"GATA2";"Transcription factor-regulator "
"GATA3";"Transcription factor-regulator "
"GATA4";"Others "
"GATA6";"Transcription factor-regulator "
"GID4";"Others "
"GLI1";"Hedgehog signaling pathway"
"GNA13";"TGF-beta"
"GNAQ";"RTK/RAS"
"GNAS";"RTK/RAS"
"GNB1";"Others "
"GOPC";"Others "
"GPS2";"Others "
"GRIN2A";"Others "
"GRM3";"Others "
"GSK3B";"Wnt Signaling Pathway "
"GTSE1";"Others "
"H1-2";"Others "
"H1-4";"Others "
"H1-5";"Others "
"H2AC6";"Others "
"H2BC12";"Others "
"H2BC5";"Others "
"H3-3B";"Others "
"H3-5";"Others "
"H3C1";"Others "
"H3C10";"Others "
"H3C11";"Others "
"H3C13";"Others "
"H3C2";"Others "
"H3C3";"Others "
"H3C4";"Others "
"H3C6";"Others "
"H3P6";"Others "
"HDAC4";"Epigenetics "
"HERPUD1";"Others "
"HGF";"RTK/RAS"
"HIF1A";"Transcription factor-regulator "
"HIRA";"Others "
"HLA-A";"Immunity "
"HLA-B";"Immunity "
"HLA-C";"Immunity "
"HNF1A";"Transcription factor-regulator "
"HNRNPA2B1";"Others "
"HOOK3";"Others "
"HOXA11";"Transcription factor-regulator "
"HOXA13";"Transcription factor-regulator "
"HOXA3";"Transcription factor-regulator "
"HOXA9";"Transcription factor-regulator "
"HOXD11";"Transcription factor-regulator "
"HOXD13";"Transcription factor-regulator "
"HSP90AA1";"Others "
